pref_name,facility_name,n_specialists,match_status,match_method,coordinate_source,assignment_basis,care_setting,ref_facility_name,iryoken2_code,iryoken2_name,lon,lat,reason_code,contested
北海道,社会福祉法人函館厚生院 函館五稜郭病院,1,matched,normalized_suffix,ksj_p04,automatic,care,函館五稜郭病院,0101,南渡島,140.755523,41.7924566,,0
北海道,美幌町立国民健康保険病院,1,matched,normalized_exact,ksj_p04,automatic,care,美幌町立国民健康保険病院,0117,北網,144.105905,43.83264652,,0
北海道,道東勤医協ねむろ医院,1,matched,normalized_exact,iryojoho_clinic,automatic,care,道東勤医協ねむろ医院,0121,根室,145.596399,43.33176,,0
北海道,重症心身障害児(者)施設 北海道療育園,1,matched,normalized_suffix,ksj_p04,automatic,care,北海道療育園,0112,上川中部,142.3709427,43.82944805,,0
青森県,平井内科医院,1,matched,normalized_exact,ksj_p04,automatic,care,平井内科医院,0203,青森地域,140.76094814066929,40.817364724002765,,0
青森県,弘前大学,3,matched,crosswalk,iryojoho_hospital,university_hospital,care,弘前大学医学部附属病院,0201,津軽地域,,,,0
青森県,弘前市立病院,1,matched,normalized_exact,ksj_p04,automatic,care,弘前市立病院,0201,津軽地域,140.47850471495633,40.59700837355514,,0
青森県,青森県立中央病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,青森県立中央病院,0203,青森地域,140.794385,40.829805,,0
青森県,青森県立保健大学,1,unassignable,crosswalk,crosswalk,non_care_workplace,non_care,,,,,,no_location_for_non_care,0
青森県,駅前クリニック,1,matched,normalized_exact,ksj_p04,automatic,care,駅前クリニック,0204,西北五地域,140.44646136033074,40.80914976507218,,0
岩手県,岩手医科大学,3,matched,crosswalk,iryojoho_hospital,university_hospital,care,岩手医科大学附属病院,0301,盛岡,,,,0
岩手県,盛岡つなぎ温泉病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,特定医療法人盛岡つなぎ温泉病院,0301,盛岡,141.024204,39.689069,,0
宮城県,IMS Me-Lifeクリニック仙台,1,matched,normalized_suffix,iryojoho_clinic,automatic,care,医療法人　財団明理会　ＩＭＳ　Ｍｅ－Ｌｉｆｅ　クリニック　仙台,0403,仙台,140.88363,38.26056,,0
宮城県,おのだクリニック,1,matched,normalized_exact,iryojoho_clinic,automatic,care,おのだクリニック,0406,大崎・栗原,140.786758,38.574104,,0
宮城県,かくだ耳鼻咽喉科クリニック,1,matched,normalized_exact,ksj_p04,automatic,care,かくだ耳鼻咽喉科クリニック,0401,仙南,140.77941740702937,37.97210937179884,,0
宮城県,やまと在宅診療所あゆみ仙台,1,unmatched,,,automatic,,,,,,,no_name_match,0
宮城県,仙台エコー医療養育センター,1,unmatched,,,automatic,,,,,,,no_name_match,0
宮城県,仙台厚生病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,仙台厚生病院,0403,仙台,140.870083,38.276104,,0
宮城県,仙台市立病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,仙台市立病院,0403,仙台,140.888184,38.231919,,0
宮城県,公益財団法人宮城県結核予防会,1,unmatched,,,automatic,,,,,,,no_name_match,0
宮城県,坂総合病院,4,matched,normalized_suffix,iryojoho_hospital,automatic,care,公益財団法人宮城厚生協会坂総合病院,0403,仙台,141.015531,38.306587,,0
宮城県,東北医科薬科大学病院,4,matched,normalized_exact,iryojoho_hospital,automatic,care,東北医科薬科大学病院,0403,仙台,140.966892,38.269441,,0
宮城県,東北大学,10,matched,crosswalk,iryojoho_hospital,university_hospital,care,東北大学病院,0403,仙台,,,,0
宮城県,栗原市立栗原中央病院,2,matched,normalized_exact,iryojoho_hospital,automatic,care,栗原市立栗原中央病院,0406,大崎・栗原,141.020439,38.746484,,0
宮城県,泉整形外科病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,医療法人　泉整形外科病院,0403,仙台,140.867752,38.311913,,0
宮城県,独立行政法人国立病院機構 仙台医療センター,3,matched,normalized_exact,iryojoho_hospital,automatic,care,独立行政法人国立病院機構仙台医療センター,0403,仙台,140.905197,38.260803,,0
宮城県,石巻市立病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,石巻市立病院,0409,石巻・登米・気仙沼,141.301517,38.434947,,0
宮城県,若林保健福祉センター,1,matched,crosswalk,ksj_p04,renamed,non_care,仙台市保健所若林支所,0403,仙台,,,,0
宮城県,金上病院,1,matched,normalized_exact,ksj_p04,automatic,care,金上病院,0401,仙南,140.78603918045255,37.97430692044057,,0
秋田県,あきた内科・呼吸器内科クリニック,1,matched,normalized_exact,iryojoho_clinic,automatic,care,あきた内科・呼吸器内科クリニック,0504,秋田周辺,140.134824,39.714802,,0
秋田県,医療法人光智会 西大館病院,1,matched,normalized_exact,ksj_p04,automatic,care,医療法人　光智会　西大館病院,0501,大館・鹿角,140.47521582615562,40.279366071153895,,0
秋田県,大館市立総合病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,大館市立総合病院,0501,大館・鹿角,140.555208,40.273166,,0
秋田県,市立秋田総合病院,1,matched,normalized_exact,iryojoho_hospital,automatic,care,市立秋田総合病院,0504,秋田周辺,140.103463,39.711953,,0
