area_code,area_name,pref_code,pref_name,sex,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
0117,北網,01,北海道,male,3289,3825,4158,4368,4647,4289,4782,5435,6683,7627,6424,6972,6832,7776,8114,5453,4458,2996,1151,212,24,30184,1003,100518
0117,北網,01,北海道,female,3021,3784,3883,3903,3539,3656,4242,5324,6328,7239,6534,7065,7162,8836,9678,7335,6550,4963,2827,919,173,41281,981,107942
0118,遠紋,01,北海道,male,920,1121,1235,1129,1052,1401,1493,1674,1897,2169,2051,2245,2200,2475,2523,1826,1594,1105,416,79,12,10030,328,30945
0118,遠紋,01,北海道,female,937,1070,1110,1024,1016,1230,1392,1620,1772,1992,1957,2181,2269,2796,3199,2557,2374,1803,992,380,52,14153,234,33957
0119,十勝,01,北海道,male,5758,6800,7317,7032,6222,7671,8237,9293,10663,12237,10519,10878,10517,11760,11627,8219,6676,4474,1840,365,47,45008,1513,159665
0119,十勝,01,北海道,female,5430,6505,6938,6748,6360,7003,7639,9077,10632,12072,11099,11254,10942,13002,13960,11006,9629,7385,4030,1332,239,60583,701,172983
0120,釧路,01,北海道,male,3276,3880,4434,4868,4373,4460,4860,5610,6819,7933,7027,7136,7415,8827,8531,5893,4692,2912,999,180,15,32049,819,104959
0120,釧路,01,北海道,female,3098,3677,4283,4565,4109,4333,4795,5741,6780,7987,7375,7720,7996,10119,10473,8130,6903,5037,2625,834,132,44253,942,117654
0121,根室,01,北海道,male,1196,1415,1667,1472,1331,1759,1916,2145,2446,2694,2420,2492,2351,2649,2486,1668,1293,851,308,55,6,9316,578,35198
0121,根室,01,北海道,female,1187,1464,1490,1370,1181,1457,1654,1933,2194,2468,2370,2482,2494,3011,2794,2379,2015,1362,705,223,41,12530,299,36573
0201,津軽地域,02,青森県,male,4369,4918,5236,6198,6173,5293,6016,7236,8291,8855,8318,8935,9080,10097,10189,6635,5251,3291,1157,167,14,36801,1011,126730
0201,津軽地域,02,青森県,female,4123,4621,5148,6107,5769,5246,5982,7355,8623,9451,9226,10049,10621,11711,12359,9723,9079,7460,3894,1012,133,55371,1086,148778
0202,八戸地域,02,青森県,male,5149,6081,6486,7119,5586,6253,7031,8259,9707,11194,10662,10348,10612,12109,11784,7889,5722,3545,1202,206,18,42475,1603,148565
0202,八戸地域,02,青森県,female,4984,5669,6253,6291,4726,5982,6889,8251,9471,11094,10925,10868,11344,13022,13337,10583,9115,7284,3563,993,149,58046,924,161717
0203,青森地域,02,青森県,male,4173,5015,5828,6449,4854,5104,5993,7387,9104,10174,9359,9487,9966,10534,10975,7073,5137,3118,1110,160,15,38122,6709,137724
0203,青森地域,02,青森県,female,4089,4926,5552,6032,4956,5170,6208,7748,9344,10639,10090,10535,11090,12298,13344,10100,8759,7034,3355,930,126,55946,5544,157869
0204,西北五地域,02,青森県,male,1520,1881,2138,2290,1650,1949,2344,2883,3356,3614,3720,4175,4439,5090,4883,3341,2863,1988,620,113,14,18912,271,55142
0204,西北五地域,02,青森県,female,1563,1777,2077,2251,1562,1792,2242,2819,3290,3850,4093,4567,5199,5741,5723,4838,4998,4074,2122,498,83,28077,169,65328
0205,上十三地域,02,青森県,male,2756,3188,3480,3521,3546,3819,4029,4946,5491,6114,5501,5377,5888,6782,6398,4047,3155,2061,746,129,18,23336,946,81938
0205,上十三地域,02,青森県,female,2634,3020,3361,3294,3006,2904,3489,4416,4851,5571,5249,5344,6064,7162,7118,5459,5080,4329,2246,670,101,32165,625,85993
0206,下北地域,02,青森県,male,1013,1245,1422,1381,1193,1468,1587,1865,2229,2511,2237,2361,2360,2950,2707,1791,1395,813,258,65,6,9985,446,33303
0206,下北地域,02,青森県,female,961,1179,1277,1157,833,1148,1329,1684,2043,2259,2165,2164,2563,3203,3089,2392,2170,1713,809,294,37,13707,428,34897
0301,盛岡,03,岩手県,male,7924,9225,10105,11376,10477,9753,10926,12802,14902,16473,14538,14686,15166,16060,15513,10392,7722,5038,1928,323,35,57011,5143,220507
0301,盛岡,03,岩手県,female,7668,9165,9746,11072,9951,9793,11154,13348,15134,16693,15228,15578,16073,17469,17804,13629,12179,10082,5307,1570,240,78280,3796,242679
0302,岩手中部,03,岩手県,male,3521,4258,4798,4990,4115,4511,5276,6369,7467,8102,6944,6985,7293,8031,7589,5275,4265,2819,1111,191,22,29303,1945,105877
0302,岩手中部,03,岩手県,female,3390,4037,4507,4488,3545,4016,4701,5862,6825,7116,6700,6591,7259,8383,8599,7215,6907,5680,3181,965,138,41068,756,110861
0303,胆江,03,岩手県,male,2091,2504,2812,2876,2175,2618,3123,3684,4230,4503,3789,4180,4623,5196,4892,3250,2915,1989,789,126,14,19171,491,62870
0303,胆江,03,岩手県,female,1936,2402,2588,2603,1779,2223,2703,3291,3857,3984,3679,4071,4618,5165,5223,4189,4469,3786,2045,624,90,25591,277,65602
0304,両磐,03,岩手県,male,1655,2182,2556,2779,1800,2100,2406,3152,3687,3883,3494,4006,4576,5357,4936,3193,2738,1883,754,160,12,19033,445,57754
0304,両磐,03,岩手県,female,1559,1986,2416,2466,1630,1849,2252,2878,3423,3604,3486,3978,4523,5277,4907,4026,4169,3724,2220,694,115,25132,248,61430
0305,気仙,03,岩手県,male,798,936,1059,969,813,1135,1224,1330,1685,1912,1951,2108,2142,2446,2387,1800,1516,993,415,61,9,9627,291,27980
0305,気仙,03,岩手県,female,767,861,971,973,713,989,1031,1255,1495,1835,1846,2078,2064,2511,2547,2496,2206,1869,1052,340,50,13071,106,30055
0306,釜石,03,岩手県,male,589,709,764,711,667,838,874,1044,1206,1417,1490,1498,1550,1902,1733,1359,1122,678,230,47,2,7073,173,20603
0306,釜石,03,岩手県,female,564,728,724,660,657,746,793,926,1125,1271,1366,1445,1491,1925,2031,1914,1731,1396,677,201,29,9904,79,22479
0307,宮古,03,岩手県,male,1099,1273,1440,1373,1194,1422,1586,1844,2117,2629,2602,2727,2816,3252,3385,2382,1959,1217,455,83,7,12740,271,37133
