pref_code,pref_name,sex,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
17,石川県,male,21077,23815,25212,28616,29551,25871,27546,30593,36973,44308,36270,32838,32002,35181,42582,29027,18764,11576,4724,948,113,142915,12184,549771
17,石川県,female,19843,22635,24514,26105,25493,24358,26384,30016,35879,43240,36797,34417,34126,38165,47614,35640,27668,23050,13478,4321,809,190745,8203,582755
18,福井県,male,14365,16595,18141,18327,16773,17804,19172,21205,24645,28242,23892,24029,23665,25802,28083,19344,13708,9148,3870,724,89,100768,6350,373973
18,福井県,female,13668,15613,17162,16874,14997,15970,18161,20522,23523,27264,24078,24303,24538,27218,30255,23590,19970,17017,10049,3268,549,131916,4301,392890
19,山梨県,male,13761,15636,17383,20307,18654,17831,18937,21269,24613,29602,28141,26686,25687,28078,28879,21223,15151,9535,4179,910,94,108049,10753,397309
19,山梨県,female,13231,15082,16536,18659,17000,15931,17486,20288,23881,28404,27544,26515,26198,28901,31275,25391,20951,16926,10203,3544,644,137835,8075,412665
20,長野県,male,35885,42058,46401,47199,40027,43603,47342,53976,65890,77102,68527,63658,62016,68256,74874,56993,41206,27606,12576,2678,234,284423,22282,1000389
20,長野県,female,34105,40146,44278,44325,36730,39471,44599,51965,63783,73986,67029,63710,63491,70988,80751,67024,55672,46405,30045,9931,1703,362519,17485,1047622
21,岐阜県,male,35043,42269,45854,47985,44205,42631,47115,53301,63022,74849,64444,60061,57258,63709,73040,53162,37878,22385,8648,1581,155,260558,21841,960436
21,岐阜県,female,33417,40134,43803,46235,43347,40339,44553,52019,60888,73412,65247,63060,61244,69458,80010,63796,51671,39014,21512,6631,1101,333193,17415,1018306
22,静岡県,male,65181,76849,82948,84284,77444,86086,94547,106282,120808,142540,126291,115721,110980,121478,131362,98296,69427,40025,15474,2977,282,479321,21836,1791118
22,静岡県,female,61595,73005,79145,78311,71429,75529,86336,99623,113999,135183,120981,113289,111595,126325,143310,117233,93453,71013,39080,12435,2112,604961,17103,1842084
23,愛知県,male,153686,169781,175738,182741,201706,210960,220088,237781,262584,311300,269112,231687,195405,201403,233262,180136,123275,65757,22671,3961,346,830811,108122,3761502
23,愛知県,female,146137,161079,167221,172161,188488,189156,199007,219588,246141,293889,253643,222843,194433,213276,258848,212225,161425,112812,55954,16476,2776,1033792,93335,3780913
24,三重県,male,31410,36732,39877,41305,39398,41594,44344,49099,56614,68098,58912,55409,51351,55851,62556,46968,33430,20084,7924,1312,125,228250,22082,864475
24,三重県,female,29793,35027,38251,39516,37364,36802,41015,46521,54378,65821,58483,56824,54204,60575,69588,56531,45733,35352,19111,5968,965,293823,17957,905779
25,滋賀県,male,29164,33807,35401,36960,37834,34415,38018,42299,47910,55207,45796,41611,38569,42169,46062,33105,22238,13109,5296,872,111,162962,17476,697429
25,滋賀県,female,27627,31987,33383,34390,33204,30847,35611,41152,47910,53940,45976,42601,40531,44327,50208,38092,29193,22686,12998,4122,723,202349,14673,716181
26,京都府,male,44921,50989,54601,62816,72975,58228,61072,67929,80204,96445,83620,73770,66427,72290,89958,66770,45894,27239,10165,1818,217,314351,43120,1231468
26,京都府,female,42752,48433,51769,59926,70703,59329,62136,70787,82917,100242,87624,78913,71153,81754,105828,84004,63930,48242,26236,8473,1675,420142,39793,1346619
27,大阪府,male,162354,176474,187534,203718,231542,224908,230653,247335,280736,350481,311958,264101,218762,237306,284877,224305,155510,81845,26515,4510,477,1015345,130055,4235956
27,大阪府,female,155060,169466,178611,197103,235653,233048,236371,254147,291626,361438,321721,273984,230219,261943,333855,287413,218899,148790,71342,20538,3598,1346378,116904,4601729
28,兵庫県,male,100615,115268,122259,126328,119675,115518,128811,145578,167862,204929,180698,161950,148921,162876,186558,139155,95143,56058,20812,3899,382,664883,96461,2599756
28,兵庫県,female,95860,109766,116437,122811,125970,118696,130762,151702,176842,216558,193547,176066,162639,180918,215021,175233,134581,102399,53939,16647,2922,881660,85930,2865246
29,奈良県,male,22607,26902,29206,32666,29978,25458,28715,32929,38615,47902,42348,39319,37511,43146,49519,38899,26970,14965,5526,1032,88,180145,9625,623926
29,奈良県,female,21564,25745,28247,31397,31095,27344,30171,35233,41531,51578,47487,44125,42273,48795,58457,47304,34947,25611,14061,4485,771,234431,8326,700547
30,和歌山県,male,15646,18341,19897,20719,17680,18640,20918,23169,26952,33157,28972,28509,28799,31671,35324,26159,18561,11494,4793,872,80,128954,4698,435051
30,和歌山県,female,14826,17715,18935,19231,17414,17979,20778,23883,27387,34149,31825,32304,31239,34862,40967,33865,27459,22382,12438,3926,647,176546,3322,487533
31,鳥取県,male,10698,11845,12517,12905,11057,10982,12982,15604,17614,19208,15814,16177,17940,20422,20344,13472,9950,6764,2977,630,57,74616,4473,264432
31,鳥取県,female,9896,11561,11813,12045,10379,10960,12765,15184,17162,18785,16310,17171,18958,21315,22490,17071,15510,13838,8691,2952,563,102430,3556,288975
32,島根県,male,12586,14518,14898,15814,12626,13770,15493,17925,20923,22901,19307,19482,21817,24924,26855,17147,13252,9820,4047,904,112,97061,5170,324291
32,島根県,female,11810,13586,14243,13999,11553,12838,14761,17190,19586,21804,19012,19981,21874,25161,28451,21867,20293,18727,11553,4024,744,130820,3778,346835
33,岡山県,male,35280,40117,42527,45167,44168,42628,45373,50602,57847,68339,55488,51515,52780,58063,66474,49163,33582,21951,8825,1688,168,239914,36300,908045
33,岡山県,female,33936,37941,39551,43264,43892,41335,45220,50858,57320,68628,57664,54195,56111,61874,74921,60538,47839,40394,23445,7638,1428,318077,32395,980387
34,広島県,male,53805,62108,64492,66146,65418,66824,72427,79203,90158,107659,89958,80276,77638,86629,99329,72246,48450,29103,11679,2557,312,350305,30739,1357156
34,広島県,female,51298,59531,61444,62230,61661,62122,68102,77228,89470,107287,91045,83005,82197,92781,111164,89596,68513,54932,31838,10815,1987,461626,24300,1442546
35,山口県,male,22732,27100,28875,30196,27556,26916,29802,34419,40385,48189,39301,37457,40351,48226,54095,38151,26962,17354,6756,1320,170,193034,10423,636736
35,山口県,female,21714,25481,27706,28356,25692,24855,28360,34197,40058,47368,42272,40297,43965,51879,62813,50041,41341,34264,18984,6467,1134,266923,8079,705323
36,徳島県,male,11657,13649,14332,14967,13632,13522,15667,18632,21470,23876,20584,20658,22914,26883,28956,18721,13918,9385,3715,707,73,102358,15347,343265
36,徳島県,female,10994,12782,13715,14375,13246,12790,15418,18571,21227,24980,21959,22604,24565,28640,31195,23257,20536,17949,10639,3266,506,135988,13080,376294
37,香川県,male,17054,20064,21122,22251,18666,20246,22917,25910,30771,35600,29088,26860,28124,31556,37128,24387,17545,11679,4925,1008,103,128331,12193,459197
37,香川県,female,16348,18935,20234,20284,17809,18901,21814,25718,30568,35220,29327,28054,29928,34000,40948,30079,24890,21225,12409,3880,771,168202,9705,491047
38,愛媛県,male,22420,27306,29079,29330,24375,26482,29804,34591,40411,47041,39284,39206,41025,46588,51244,34534,25374,16587,6966,1421,163,182877,19831,633062
38,愛媛県,female,21498,25598,27863,27075,23959,25249,29662,35286,40845,48031,42151,42781,45150,51671,58240,44969,38352,31893,19121,6068,1088,251402,15229,701779
39,高知県,male,11159,12901,14212,15279,13072,12711,14122,17469,21058,24174,19728,20590,21744,24755,28278,19177,13952,9709,4154,870,82,100977,7335,326531
39,高知県,female,10750,12532,13392,14120,11946,12168,14392,17719,20732,24587,21266,21976,23347,27149,31812,25270,21152,18953,11739,3990,745,140810,5259,364996
40,福岡県,male,104547,116658,117318,119940,125065,117658,129454,149607,165357,180696,151563,138604,141577,159688,165256,111385,78521,47262,18024,3453,370,583959,88948,2430951
40,福岡県,female,100341,110711,112604,116999,126199,125866,135526,156088,172342,188085,164166,152506,154055,176930,193551,147623,122708,96718,53305,17231,3117,811183,77592,2704263
41,佐賀県,male,16511,18914,20130,19918,16366,16855,18743,22362,24929,26107,22901,23674,25806,29746,28146,17973,13946,9179,3774,748,84,103596,7639,384451
41,佐賀県,female,15591,17977,19118,19238,17077,16663,19511,23007,25259,26781,24893,25537,27952,31861,31063,24290,21714,18360,10962,3588,627,142465,5922,426991
42,長崎県,male,25216,28808,30314,29702,23697,25244,29404,33863,37771,42411,38408,40208,44477,51057,48911,31139,25191,16431,6340,1277,103,180449,6940,616912
42,長崎県,female,23902,27484,28579,28226,23970,25184,29943,35316,39315,44583,42482,43949,47924,54882,55417,42665,39018,32067,18513,6276,1066,249904,4644,695405
43,熊本県,male,35224,40390,41225,40826,34749,35403,40814,47873,52642,55101,48527,50787,55927,62734,60885,40059,32217,22066,9200,1821,205,229187,13806,822481
43,熊本県,female,33817,38153,39557,38545,35078,36360,42202,49181,53731,57244,53317,55754,60137,67030,67429,52549,48782,41253,24410,8394,1504,311351,11393,915820
44,大分県,male,20394,23615,25094,25297,21769,22490,25645,29924,34919,37453,31621,31425,35036,40524,42557,29168,21635,14573,6064,1199,121,155841,12891,533414
44,大分県,female,19597,22482,24090,23409,21003,21514,25258,29962,34625,38259,33948,34531,38439,44193,48526,37955,32753,27600,16174,5274,876,213351,9970,590438
45,宮崎県,male,20986,24519,25890,24315,18875,20499,23489,28207,32503,34158,29307,31140,35171,40011,39184,25867,20389,14010,5545,1011,123,146140,9564,504763
45,宮崎県,female,20199,23534,24645,23032,18956,20252,24715,29912,33398,35749,31966,34151,38460,43251,44613,33268,30477,25895,15108,4874,917,198403,7441,564813
46,鹿児島県,male,31117,36492,38033,35044,26104,28190,33981,41259,44996,47150,42932,47061,54974,62204,56533,36919,30036,20678,8379,1674,192,216615,24358,748306
46,鹿児島県,female,29806,34536,35397,34133,28134,30590,37108,44691,48199,49859,47719,51500,58570,64268,60532,46826,45102,39222,23776,8074,1476,289276,20432,839950
47,沖縄県,male,39644,42335,42031,39930,35854,37373,41544,45949,48695,53227,45856,43872,44961,47299,36811,23443,20474,12437,4591,870,147,146072,15469,722812
47,沖縄県,female,37690,41082,40464,37863,34275,36910,42045,47153,49034,52407,45861,43542,44803,47072,37967,27509,27899,21028,12027,4100,1034,178636,12903,744668
