area_code,area_name,pref_code,pref_name,population_2020,source,retrieved_on,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
0120,釧路,01,北海道,222613,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,6374,7557,8717,9433,8482,8793,9655,11351,13599,15920,14402,14856,15411,18946,19004,14023,11595,7949,3624,1014,147,76302,1761,222613
0121,根室,01,北海道,71771,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2383,2879,3157,2842,2512,3216,3570,4078,4640,5162,4790,4974,4845,5660,5280,4047,3308,2213,1013,278,47,21846,877,71771
0201,津軽地域,02,青森県,275508,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,8492,9539,10384,12305,11942,10539,11998,14591,16914,18306,17544,18984,19701,21808,22548,16358,14330,10751,5051,1179,147,92172,2097,275508
0202,八戸地域,02,青森県,310282,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,10133,11750,12739,13410,10312,12235,13920,16510,19178,22288,21587,21216,21956,25131,25121,18472,14837,10829,4765,1199,167,100521,2527,310282
0203,青森地域,02,青森県,295593,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,8262,9941,11380,12481,9810,10274,12201,15135,18448,20813,19449,20022,21056,22832,24319,17173,13896,10152,4465,1090,141,94068,12253,295593
0204,西北五地域,02,青森県,120470,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,3083,3658,4215,4541,3212,3741,4586,5702,6646,7464,7813,8742,9638,10831,10606,8179,7861,6062,2742,611,97,46989,440,120470
0205,上十三地域,02,青森県,167931,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,5390,6208,6841,6815,6552,6723,7518,9362,10342,11685,10750,10721,11952,13944,13516,9506,8235,6390,2992,799,119,55501,1571,167931
0206,下北地域,02,青森県,68200,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1974,2424,2699,2538,2026,2616,2916,3549,4272,4770,4402,4525,4923,6153,5796,4183,3565,2526,1067,359,43,23692,874,68200
0301,盛岡,03,岩手県,463186,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,15592,18390,19851,22448,20428,19546,22080,26150,30036,33166,29766,30264,31239,33529,33317,24021,19901,15120,7235,1893,275,135291,8939,463186
0302,岩手中部,03,岩手県,216738,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,6911,8295,9305,9478,7660,8527,9977,12231,14292,15218,13644,13576,14552,16414,16188,12490,11172,8499,4292,1156,160,70371,2701,216738
0303,胆江,03,岩手県,128472,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,4027,4906,5400,5479,3954,4841,5826,6975,8087,8487,7468,8251,9241,10361,10115,7439,7384,5775,2834,750,104,44762,768,128472
0304,両磐,03,岩手県,119184,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,3214,4168,4972,5245,3430,3949,4658,6030,7110,7487,6980,7984,9099,10634,9843,7219,6907,5607,2974,854,127,44165,693,119184
0305,気仙,03,岩手県,58035,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1565,1797,2030,1942,1526,2124,2255,2585,3180,3747,3797,4186,4206,4957,4934,4296,3722,2862,1467,401,59,22698,397,58035
0306,釜石,03,岩手県,43082,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1153,1437,1488,1371,1324,1584,1667,1970,2331,2688,2856,2943,3041,3827,3764,3273,2853,2074,907,248,31,16977,252,43082
0307,宮古,03,岩手県,76474,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2156,2465,2811,2710,2175,2650,2984,3566,4047,4896,4938,5150,5619,6630,7007,5642,4953,3501,1676,468,69,29946,361,76474
0308,久慈,03,岩手県,54557,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1488,1992,2230,1957,1500,1889,2186,2655,3056,3461,3572,3822,4236,4785,4495,3420,3207,2398,1185,315,55,19860,653,54557
0309,二戸,03,岩手県,50806,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1238,1641,1925,1823,1295,1635,1882,2247,2755,2988,3349,3483,4108,4918,4364,3467,3296,2579,1292,326,47,20289,148,50806
0401,仙南,04,宮城県,166529,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,4736,5964,7041,7800,7143,6158,7545,9322,10248,10896,9552,10156,12220,14362,13816,9512,7998,6163,3467,994,140,56452,1296,166529
0403,仙台,04,宮城県,1540389,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,56992,64338,66058,75796,83840,77983,86881,97861,108696,119660,102155,92291,88530,95821,96229,70197,53632,37594,18131,4897,739,377240,42068,1540389
0406,大崎・栗原,04,宮城県,259990,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7729,9795,10972,11353,8907,9681,11857,14987,16674,16523,14336,16496,19652,23325,20715,13802,13427,11166,5719,1414,197,89765,1263,259990
0409,石巻・登米・気仙沼,04,宮城県,335088,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,9697,11969,13137,14188,12456,12857,14662,17721,20643,21911,20524,22221,24463,27951,27207,20308,17997,13407,6616,1784,257,115527,3112,335088
0501,大館・鹿角,05,秋田県,103105,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2578,3220,3912,3741,2694,3361,3813,4953,6018,6489,6018,7055,7670,8956,9431,7191,6903,5239,2533,640,93,40986,597,103105
0502,北秋田,05,秋田県,32261,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,655,856,1043,945,685,894,1053,1302,1684,1758,1859,2319,2600,3141,3180,2493,2487,1966,992,261,25,14545,63,32261
0503,能代・山本,05,秋田県,74695,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1536,1911,2593,2536,1686,2021,2537,3312,4122,4579,4655,5059,5978,7032,7397,5615,5150,4290,2095,488,82,32149,21,74695
0504,秋田周辺,05,秋田県,386244,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,11211,13531,14763,15961,14720,14555,16809,20395,24867,27412,24563,25444,27089,30791,31971,22496,19347,14471,7272,1826,248,128422,6502,386244
0505,由利本荘・にかほ,05,秋田県,98142,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2575,3288,3848,3892,3138,3173,3978,5070,5817,6177,5732,6474,7508,8907,8697,5977,5868,4497,2349,548,80,36923,549,98142
0506,大仙・仙北,05,秋田県,120880,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,3061,3868,4587,4261,3000,3736,4780,6086,7286,7257,6779,8161,9724,11236,10894,7532,7707,6355,3148,790,109,47771,523,120880
0507,横手,05,秋田県,85555,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2292,2893,3347,3036,1954,2536,3445,4553,5209,5214,4919,5612,6944,8034,7484,5349,5308,4339,2248,579,60,33401,200,85555
0508,湯沢・雄勝,05,秋田県,58620,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1363,1737,2005,1967,1315,1679,2192,2827,3246,3611,3530,4329,5329,5755,5052,3846,3663,3090,1511,415,39,23371,119,58620
0601,村山,06,山形県,531855,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,18190,21134,22824,24239,21128,21673,25487,30353,34248,35210,31869,33190,36061,40079,39858,29271,25512,20415,11229,3105,400,169869,6380,531855
0602,最上,06,山形県,70922,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2031,2591,2880,2925,1834,2390,3050,3501,4119,4170,4054,5029,6004,6540,5813,4156,4023,3275,1773,450,59,26089,255,70922
0603,置賜,06,山形県,201846,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,6202,7568,8555,8892,8609,7576,9059,10682,12018,12942,12158,13132,14485,16618,15536,11454,10575,8392,4628,1348,202,68753,1215,201846
0604,庄内,06,山形県,263404,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7875,9410,10826,10816,8160,9365,11234,13275,15812,17215,16051,17402,19402,22382,22092,16094,14743,11658,6144,1515,215,94843,1718,263404
0701,県北,07,福島県,465894,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,14885,17071,18971,21137,18970,19312,21907,25055,28887,32585,29229,30107,32036,36549,35541,26305,21431,16541,8794,2377,299,147837,7905,465894
0702,県中,07,福島県,519577,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,18270,20818,22261,24269,21617,23360,26564,30257,33853,36021,32516,34284,37019,39145,36138,25307,20911,16096,8328,2112,321,148358,10110,519577
0703,県南,07,福島県,138770,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,4775,5791,6185,6305,5276,5891,7005,8291,8828,8998,8118,8938,10603,11352,9989,6920,5960,4886,2612,626,81,42426,1340,138770
0706,相双,07,福島県,119577,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,3408,3754,4079,4264,3816,4978,5277,6049,6930,7914,7399,7990,9372,10362,9895,6680,5779,4474,2311,590,104,40195,4152,119577
0707,いわき,07,福島県,332931,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,11351,12780,13848,14427,12067,14400,15843,17865,20773,23376,21402,21832,22735,25970,24795,18872,14978,10794,5345,1365,200,102319,7913,332931
0708,会津・南会津,07,福島県,256403,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7910,9486,10509,10778,8253,9498,11333,12822,14471,15406,14929,17291,19513,21953,20081,15021,14367,11702,6348,1914,304,91690,2514,256403
0801,水戸,08,茨城県,457941,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,16306,18085,19528,20819,19246,20293,23500,26568,29788,34481,30527,28712,28782,32136,32881,25059,19044,13612,7007,1999,310,132048,9258,457941
0802,日立,08,茨城県,244008,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,6632,8229,9778,11192,10239,10021,10695,12054,13808,18369,17147,16033,15799,18672,19296,16974,13178,7775,3627,1073,165,80760,3252,244008
